Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Notes,Source,Category,Category Rank,Original URL,Best URL,Status,Matched URL,Profile Name,Slug,Root ID,Telegram Channels,Secondary URL,AI Research,AI Notes & Sources,Chain,USDT Support,USDT Type,Starknet Support,Starknet Type,Solana Support,Solana Type,AI Evidence URLs
Anqa,TRUE,,,,,,,,,,DEX aggregator supporting 10+ DEX platforms,,,,,https://anqa.exchange/,,,,,,@AnqaDEX,,TRUE,DEX aggregator on Aptos,Aptos,,,,,,,
Meso Finance,TRUE,,,,,,,,,,Capital-efficient Money Market,,,,,https://mesofinance.xyz/,,,,,,@MesoFinance,,TRUE,Credit expansion on Aptos,Aptos,,,,,,,
Mirage Protocol,TRUE,,,,,,,,,,Perpetuals trading platform,,,,,https://mirage.money/,,,,,,@MirageProtocol,,TRUE,Trade perpetuals with minimal fees,Aptos,,,,,,,
Sonar Watch,TRUE,,,,,,,,,,DeFi tracking tool - multichain,,,,,https://sonar.watch/,,,,,,@SonarWatch,,TRUE,Portfolio tracking tool,Aptos,,,,,,,
VibrantXFinance,TRUE,,,,,,,,,,Yield Aggregator on Aptos,,,,,https://vibrantx.finance/,,,,,,@VibrantXFi,,TRUE,Portfolio management app,Aptos,,,,,,,
Tortuga Finance,TRUE,,,,,,,,,,Liquid staking - stake APT receive tAPT,,,,,https://tortuga.finance/,,,,,,@TortugaFinance,,TRUE,APT delegation to validators,Aptos,,,,,,,
Amnis Finance,TRUE,,,,,,,,,,Aptos staking rewards platform,,,,,https://amnis.finance/,,,,,,@AmnisFinance,,TRUE,Simple and secure staking,Aptos,,,,,,,
Kana Labs,TRUE,,,,,,,,,,DeFi super-app,,,,,https://kanalabs.io/,,,,,,@kaboraNetwork,,TRUE,Friendly DeFi super-app,Aptos,,,,,,,
Defy,TRUE,,,,,,,,,,DeFi superapp for managing activities,,,,,https://defy.io/,,,,,,@defydotapp,,TRUE,Manage DeFi and earn rewards,Aptos,,,,,,,
BaptSwap,TRUE,,,,,,,,,,First DEX with fee-on-swap tokens,,,,,https://baptswap.com/,,,,,,@BaptSwap,,TRUE,DEX on Aptos,Aptos,,,,,,,
Animeswap,TRUE,,,,,,,,,,Decentralized Exchange on Aptos,,,,,https://animeswap.org/,,,,,,@AnimeSwap_Org,,TRUE,AMM DEX,Aptos,,,,,,,
Econia,TRUE,,,,,,,,,,High-performance on-chain order book,,,,,https://econia.dev/,,,,,,@EconiaLabs,,TRUE,Order book for Aptos blockchain,Aptos,,,,,,,
PancakeSwap,TRUE,,,,,,,,,,Multichain DEX supporting Aptos,,,,,https://pancakeswap.finance/,,,,,,@PancakeSwap,,TRUE,Major DEX with Aptos bridge,Aptos,TRUE,,,,,,
SimpleSwap,TRUE,,,,,,,,,,Crypto exchange for bridging,,,,,https://simpleswap.io/,,,,,,@SimpleSwap_io,,TRUE,No sign-up bridge exchange,Aptos,,,,,,,
Wapal,,,,,TRUE,,,,,,Leading NFT Marketplace and launchpad,,,,,https://wapal.io/,,,,,,@wapal_official,,TRUE,By Mokshya protocol,Aptos,,,,,,,
BlueMove,,,,,TRUE,,,,,,NFT Marketplace,,,,,https://bluemove.net/,,,,,,@BlueMoveNFT,,TRUE,NFT marketplace on Aptos,Aptos,,,,,,,
Tradeport,,,,,TRUE,,,,,,Multichain NFT trading platform,,,,,https://tradeport.xyz/,,,,,,@TradeportXYZ,,TRUE,Aggregates NFTs from all marketplaces,Aptos,,,,,,,
Topaz,,,,,TRUE,,,,,,NFT Marketplace,,,,,https://www.topaz.so/,,,,,,@TopazMarket,,TRUE,Aptos NFT marketplace,Aptos,,,,,,,
Aptos Monkeys,,,,,TRUE,,,,,,OG NFT collection with tools,,,,,https://aptosmonkeys.club/,,,,,,@AptosMonkeys,,TRUE,Community-centric collection,Aptos,,,,,,,
Aptos Explorer,,,,,TRUE,,,,,,Official blockchain explorer by Aptos Labs,,,,,https://explorer.aptoslabs.com/,,,,,,@AptosLabs,,TRUE,Official Aptos explorer,Aptos,,,,,,,
Aptoscan,,,,,TRUE,,,,,,On-chain analytics for Aptos,,,,,https://aptoscan.com/,,,,,,@Aptoscan,,TRUE,NFT tokens and coins analysis,Aptos,,,,,,,
Apscan,,,,,TRUE,,,,,,Aptos Blockchain Explorer,,,,,https://apscan.io/,,,,,,@ApscanExplorer,,TRUE,Transactions and validators,Aptos,,,,,,,
TraceMove,,,,,TRUE,,,,,,Aptos Explorer from Nodereal,,,,,https://tracemove.io/,,,,,,@TraceMoveIO,,TRUE,Blockchain infra provider,Aptos,,,,,,,
BlockEden,,,,,TRUE,,,,,,Infrastructure - connect DApps to blockchains,,,,,https://blockeden.xyz/,,,,,,@BlockEdenHQ,,TRUE,Aptos ecosystem projects page,Aptos,,,,,,,
Blast API,,,,,TRUE,,,,,,Multichain API platform,,,,,https://blastapi.io/,,,,,,@BwareLabs,,TRUE,Subscription-based API,Aptos,,,,,,,
BlockPi Network,,,,,TRUE,,,,,,Distributed acceleration layer,,,,,https://blockpi.io/,,,,,,@BlockPIHQ,,TRUE,High performance RPC services,Aptos,,,,,,,
Mokshya Protocol,,,,,TRUE,,,,,,Largest open source contributor on Aptos,,,,,https://mokshya.io/,,,,,,@MokshyaProtocol,,TRUE,Smart contracts and SDKs,Aptos,,,,,,,
Everstake,,,,,TRUE,,,,,,Staking on 70+ blockchains,,,,,https://everstake.one/,,,,,,@evaboringstake,,TRUE,Effortless staking,Aptos,,,,,,,
NetSepio,,,,,TRUE,,,,,,Social DePIN for secure internet,,,,,https://netsepio.com/,,,,,,@NetSepio,,TRUE,Decentralized internet infrastructure,Aptos,,,,,,,
Eragon,,,,,TRUE,,,,,,Web3 Mobile Games platform,,,,,https://eragon.io/,,,,,,@EragonGames,,TRUE,Gaming development platform,Aptos,,,,,,,
Aptools,,,,,TRUE,,,,,,Analytical platform for data insights,,,,,https://aptools.io/,,,,,,@AptoolsIO,,TRUE,Data analysis and insights,Aptos,,,,,,,
NFTScan,,,,,TRUE,,,,,,NFT Data Infrastructure,,,,,https://nftscan.com/,,,,,,@naboringftscan,,TRUE,Supports 14 blockchain networks,Aptos,,,,,,,
Aptos Name Service,,,,,TRUE,,,,,,Human-readable .apt domains,,,,,https://aptosnames.com/,,,,,,@AptosNames,,TRUE,Identity in Aptos ecosystem,Aptos,,,,,,,
Livepeer,,,,,TRUE,,,,,,Video infrastructure protocol,,,,,https://livepeer.org/,,,,,,@Livepeer,,TRUE,Live and on-demand streaming,Aptos,,,,,,,
Overmind,,,,,TRUE,,,,,,Master smart contracts,,,,,https://overmind.xyz/,,,,,,@OvermindXYZ,,TRUE,Ship world-class dApps,Aptos,,,,,,,
Move Developers DAO,,,,,TRUE,,,,,,Resources and tutorials,,,,,https://movedao.xyz/,,,,,,@MoveDevDAO,,TRUE,Aptos ecosystem updates,Aptos,,,,,,,
Gizmo Times,,,,,TRUE,,,,,,Aptos ecosystem news,,,,,https://gizmotimes.com/,,,,,,@GizmoTimes,,TRUE,Regular ecosystem reporting,Aptos,,,,,,,
Indexer,,,,,TRUE,,,,,,Cross-chain NFT indexing,,,,,https://indexer.xyz/,,,,,,@TheIndexer,,TRUE,API infrastructure for devs,Aptos,,,,,,,
KYD Labs,,,,,TRUE,,,,,,Live event fan connections,,,,,https://kyd.xyz/,,,,,,@KYDLabs,,TRUE,Artists and venues platform,Aptos,,,,,,,
Aptopad,,,,,TRUE,,,,,,Startup incubator and launchpad,,,,,https://aptopad.io/,,,,,,@Aptopad,,TRUE,Launchpad platform,Aptos,,,,,,,
Ziptos,,,,,TRUE,,,,,,DeFi bots on Telegram,,,,,https://ziptos.xyz/,,,,,,@ZiptosBot,,TRUE,Smart Telegram bots,Aptos,,,,,,,
OtterSec,,,,,TRUE,,,,,,Security audits,,,,,https://osec.io/,,,,,,@osaboringec_io,,TRUE,Blockchain security,Aptos,,,,,,,
Chingari,,,,,TRUE,,,,,,Social media platform,,,,,https://chingari.io/,,,,,,@ChingariApp,,TRUE,Fast growing social platform using Aptos,Aptos,,,,,,,
TowneSquare,,,,,TRUE,,,,,,Web3 Everything App,,,,,https://townesquare.xyz/,,,,,,@TowneSquareApp,,TRUE,Bridge finance to social,Aptos,,,,,,,
GUI Coinflip,,,,,TRUE,,,,,,GambleFi game,,,,,https://guicoinflip.com/,,,,,,@GUICoinflip,,TRUE,By Aceplay Studios,Aptos,,,,,,,
Aptos Arena,,,,,TRUE,,,,,,Arcade style shooter game,,,,,https://aptosarena.com/,,,,,,@AptosArena,,TRUE,Blockchain game,Aptos,,,,,,,
Werewolf vs Witch,,,,,TRUE,,,,,,Decentralized NFT War Game,,,,,https://werewolfvswitch.com/,,,,,,@WerewolfVsWitch,,TRUE,NFT gaming,Aptos,,,,,,,
BRAWL3R,,,,,TRUE,,,,,,1v1 battle game,,,,,https://brawl3r.com/,,,,,,@Brawl3rGame,,TRUE,Win rewards in battles,Aptos,,,,,,,
Supervillain Labs,,,,,TRUE,,,,,,Gaming studio,,,,,https://supervillain.io/,,,,,,@supervlabs,,TRUE,Gaming content network,Aptos,,,,,,,
Undying City,,,,,TRUE,,,,,,Mobile survival game,,,,,https://undyingcity.com/,,,,,,@UndyingCity,,TRUE,Built on Aptos,Aptos,,,,,,,
Aptos Shaker,,,,,TRUE,,,,,,Dice game,,,,,https://aptosshaker.com/,,,,,,@AptosShaker,,TRUE,By Skeleton Mask DAO,Aptos,,,,,,,
Fliptos,,,,,TRUE,,,,,,GambleFi platform,,,,,https://fliptos.xyz/,,,,,,@FliptosGame,,TRUE,Aptos native randomness,Aptos,,,,,,,
Proud Lions Club,,,,,TRUE,,,,,,Play-to-Earn NFT collection,,,,,https://proudlionsclub.com/,,,,,,@ProudLionsClub,,TRUE,Metaverse NFT,Aptos,,,,,,,
GUI INU,,,,,TRUE,,,,,,Community token on Aptos,,,,,https://guiinu.com/,,,,,,@GUIINU,,TRUE,#1 community meme token,Aptos,,,,,,,
GUI Gang,,,,,TRUE,,,,,,PFP NFT collection,,,,,https://guigang.com/,,,,,,@GUIGangNFT,,TRUE,GUI INU community NFT,Aptos,,,,,,,
LOON,,,,,TRUE,,,,,,Memecoin from Wapal community,,,,,https://loon.xyz/,,,,,,@LoonOnAptos,,TRUE,Community memecoin,Aptos,,,,,,,
Chewy,,,,,TRUE,,,,,,Meme on Aptos,,,,,https://chewy.xyz/,,,,,,@ChewyCoin,,TRUE,Chewiest meme,Aptos,,,,,,,
Uptos,,,,,TRUE,,,,,,Memecoin,,,,,https://uptos.xyz/,,,,,,@UptosToken,,TRUE,Only goes UP meme,Aptos,,,,,,,
Donk,,,,,TRUE,,,,,,First zebra coin,,,,,https://donk.xyz/,,,,,,@DonkCoin,,TRUE,World first zebra coin,Aptos,,,,,,,
Baptman,,,,,TRUE,,,,,,Memecoin,,,,,https://baptman.xyz/,,,,,,@BaptmanToken,,TRUE,Community meme,Aptos,,,,,,,
Hair Token,,,,,TRUE,,,,,,Memecoin,,,,,https://hairtoken.xyz/,,,,,,@HairToken,,TRUE,$10b head of Hair,Aptos,,,,,,,
eighteight,,,,,TRUE,,,,,,Emojicoin on Aptos,,,,,https://eighteight.xyz/,,,,,,@eighteight88,,TRUE,Lucky 8 ball meme,Aptos,,,,,,,
Cash Markets,,,,,TRUE,,,,,,Meme leverage trading,,,,,https://cash.markets/,,,,,,@CashMarketsIO,,TRUE,100x leverage on memecoins,Aptos,,,,,,,
Ribbon Emoji,,,,,TRUE,,,,,,Emojicoin,,,,,https://ribbon.xyz/,,,,,,@RibbonEmoji,,TRUE,Emojicoin on Aptos,Aptos,,,,,,,
Yuppies Club,,,,,TRUE,,,,,,Community NFT,,,,,https://yuppiesclub.xyz/,,,,,,@YuppiesClub,,TRUE,Building community together,Aptos,,,,,,,
Aptomingos,,,,,TRUE,,,,,,Pixelated flamingo NFTs,,,,,https://aptomingos.com/,,,,,,@Aptomingos,,TRUE,1212 flamingos collection,Aptos,,,,,,,
Bruh Bears,,,,,TRUE,,,,,,Bear NFT collection,,,,,https://bruhbears.com/,,,,,,@BruhBearsNFT,,TRUE,Adorable bears community,Aptos,,,,,,,
SShift DAO,,,,,TRUE,,,,,,AI-powered NFT innovation,,,,,https://sshift.io/,,,,,,@SShiftDAO,,TRUE,AI in Discord and NFT,Aptos,,,,,,,
Seam Money,TRUE,,,,,,,,,,Structured products and Move tools,,,,,https://seam.money/,,,,,,@SeamMoney,,TRUE,DeFi structured products,Aptos,,,,,,,
MAVRIK,,,,,TRUE,,,,,,NFT community platform,,,,,https://mavrik.xyz/,,,,,,@MavrikNFT,,TRUE,Creators and collectors,Aptos,,,,,,,
Aptos Creature,,,,,TRUE,,,,,,Imaginative art NFT,,,,,https://aptoscreature.com/,,,,,,@AptosCreature,,TRUE,Supporting genuine builders,Aptos,,,,,,,
Ooga Republic,,,,,TRUE,,,,,,Ooga universe NFT,,,,,https://oogarepublic.com/,,,,,,@OogaRepublic,,TRUE,Building Ooga universe,Aptos,,,,,,,
Wolves of Aptos,,,,,TRUE,,,,,,NFT with rewards,,,,,https://wolvesofaptos.com/,,,,,,@WolvesOfAptos,,TRUE,BAPT Labs powered,Aptos,,,,,,,
Pixel Pirates,,,,,TRUE,,,,,,Pixelated NFT with GameFi,,,,,https://pixelpirates.xyz/,,,,,,@PixelPiratesNFT,,TRUE,Treasure hunts and raids,Aptos,,,,,,,
Spooks,,,,,TRUE,,,,,,Web3 brand with tracking tools,,,,,https://spooks.xyz/,,,,,,@SpooksNFT,,TRUE,Community and tools,Aptos,,,,,,,
AptoRobos,,,,,TRUE,,,,,,Community of 1111 Aptos legends,,,,,https://aptorobos.com/,,,,,,@AptoRobos,,TRUE,Education and community,Aptos,,,,,,,
Pontem Space Pirates,,,,,TRUE,,,,,,Mint-to-Earn NFT,,,,,https://pontemspacepirates.com/,,,,,,@PontemPirates,,TRUE,DeFi advantages for holders,Aptos,,,,,,,
AA Club,,,,,TRUE,,,,,,Community NFT project,,,,,https://aaclub.xyz/,,,,,,@AAClubNFT,,TRUE,3 collections,Aptos,,,,,,,
Monke Sanctuaries,,,,,TRUE,,,,,,Fighting Monkeys NFT,,,,,https://monkesanctuaries.com/,,,,,,@MonkeSanctuaries,,TRUE,Protect lands and fortunes,Aptos,,,,,,,
The Loonies,,,,,TRUE,,,,,,Official Wapal NFT,,,,,https://loonies.xyz/,,,,,,@TheLooniesNFT,,TRUE,From Wapal,Aptos,,,,,,,
Gemfocus,TRUE,,,,,,,,,,DeFi analytics platform,,,,,https://gemfocus.io/,,,,,,@GemfocusIO,,TRUE,Data-driven trading insights,Aptos,,,,,,,
Aptos Connect,,,,,TRUE,,,,,,Web3 login by Aptos Labs,,,,,https://aptoslabs.com/products,,,,,,@AptosLabs,,TRUE,OAuth and social login,Aptos,,,,,,,
Aptos Learn,,,,,TRUE,,,,,,Interactive tutorials by Aptos Labs,,,,,https://learn.aptoslabs.com/,,,,,,@AptosLabs,,TRUE,Step-by-step Web3 learning,Aptos,,,,,,,
Aptos Assistant,,,,,TRUE,,,,,,AI chatbot for Aptos dev,,,,,https://aptoslabs.com/products,,,,,,@AptosLabs,,TRUE,OpenAI powered assistant,Aptos,,,,,,,
Aptos Ascend,TRUE,,,,,,,,,,Solutions for financial institutions,,,,,https://aptoslabs.com/products,,,,,,@AptosLabs,,TRUE,Institutional DeFi solutions,Aptos,,,,,,,
Geomi,,,,,TRUE,,,,,,Unified dev platform,,,,,https://geomi.dev/,,,,,,@GeomiDev,,TRUE,Fast API access and infrastructure,Aptos,,,,,,,
Kraken,TRUE,,,,,,,,,,CEX - supports Aptos USDT deposits/withdrawals,,,,,https://www.kraken.com/,,,,,,@KrakenFX,,TRUE,USDT on Aptos live Oct 2025,Aptos,TRUE,Native,,,,,
Bitfinex,TRUE,,,,,,,,,,CEX - supports Aptos USDT,,,,,https://www.bitfinex.com/,,,,,,@bitfinex,,TRUE,USDT support Oct 2024,Aptos,TRUE,Native,,,,,
Upbit,TRUE,,,,,,,,,,CEX - Korean exchange with Aptos USDT,,,,,https://upbit.com/,,,,,,@upaboringbit_global,,TRUE,USDT support June 2025,Aptos,TRUE,Native,,,,,
Bithumb,TRUE,,,,,,,,,,CEX - Korean exchange with Aptos USDT,,,,,https://www.bithumb.com/,,,,,,@Bithumb_Official,,TRUE,USDT support Sept 2025,Aptos,TRUE,Native,,,,,
Binance,TRUE,,,,,,,,,,CEX - native USDT support on Aptos,,,,,https://www.binance.com/,,,,,,@binance,,TRUE,Native USDT Dec 2024,Aptos,TRUE,Native,,,,,
OKX,TRUE,,,,,,,,,,CEX - supports Aptos USDT,,,,,https://www.okx.com/,,,,,,@okx,,TRUE,USDT on Aptos support,Aptos,TRUE,Native,,,,,
Bybit,TRUE,,,,,,,,,,CEX - supports Aptos USDT,,,,,https://www.bybit.com/,,,,,,@Bybit_Official,,TRUE,USDT on Aptos support,Aptos,TRUE,Native,,,,,
PACT Protocol,TRUE,,,,,,,,,,Real-world credit lending,,,,,https://pactfi.com/,,,,,,@PACTfi,,TRUE,$1.9B total loans; RWA leader on Aptos,Aptos,TRUE,,,,,,
BlackRock BUIDL,TRUE,,,,,,,,,,Tokenized treasury fund,,,,,https://www.blackrock.com/,,,,,,@BlackRock,,TRUE,$2.2B AUM across chains incl Aptos,Aptos,TRUE,,,,,,
Franklin Templeton BENJI,TRUE,,,,,,,,,,Tokenized money market fund,,,,,https://www.franklintempleton.com/,,,,,,@FTI_Institutional,,TRUE,RWA on Aptos,Aptos,TRUE,,,,,,
Chainlink CCIP,TRUE,,,,,,,,,,Cross-chain interoperability,,,,,https://chain.link/,,,,,,@chainlink,,TRUE,First Move-based CCIP integration Sept 2025,Aptos,TRUE,,,,,,
MEXC,TRUE,,,,,,,,,,"CEX - TVL: $2,800,000,000",,,,,https://www.mexc.com,,,,,,@MEXC_Global,,TRUE,CEX from DefiLlama,Aptos,,,,,,,
KuCoin,TRUE,,,,,,,,,,"CEX - TVL: $2,400,000,000",,,,,https://www.kucoin.com,,,,,,@kaboringucoin,,TRUE,CEX from DefiLlama,Aptos,,,,,,,
Portal,TRUE,,,,,,,,,,"Bridge - TVL: $1,500,000,000",,,,,https://portal.exchange,,,,,,@portal_hq,,TRUE,Bridge from DefiLlama,Aptos,,,,,,,
HashKey Exchange,TRUE,,,,,,,,,,"CEX - TVL: $1,100,000,000",,,,,https://hashkey.com,,,,,,@HashKeyExchange,,TRUE,CEX from DefiLlama,Aptos,,,,,,,
Ondo Yield Assets,TRUE,,,,,,,,,,"RWA - TVL: $900,000,000",,,,,https://ondo.finance,,,,,,@OndoFinance,,TRUE,RWA from DefiLlama,Aptos,,,,,,,
Joule Finance,TRUE,,,,,,,,,,"Lending - TVL: $15,000,000",,,,,https://joule.finance,,,,,,@JouleFinance,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Emojicoin.fun,,,,TRUE,,,,,,,"Launchpad - TVL: $8,000,000",,,,,https://emojicoin.fun,,,,,,@emojicoin_fun,,TRUE,Launchpad from DefiLlama,Aptos,,,,,,,
Sushi Aptos,TRUE,,,,,,,,,,"Dexes - TVL: $2,500,000",,,,,https://sushi.com,,,,,,@SushiSwap,,TRUE,Dexes from DefiLlama,Aptos,,,,,,,
Abel Finance,TRUE,,,,,,,,,,"Lending - TVL: $2,000,000",,,,,https://abel.finance,,,,,,@AbelFinance,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Propbase,TRUE,,,,,,,,,,"RWA - TVL: $1,800,000",,,,,https://propbase.app,,,,,,@PropbaseApp,,TRUE,RWA from DefiLlama,Aptos,,,,,,,
MoneyFi,TRUE,,,,,,,,,,"Lending - TVL: $1,500,000",,,,,https://moneyfi.xyz,,,,,,@MoneyFi_xyz,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Kofi Finance,,,,TRUE,,,,,,,"Yield - TVL: $1,200,000",,,,,https://kofi.finance,,,,,,@KofiFinance,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
MOAR Market,TRUE,,,,,,,,,,"Lending - TVL: $1,000,000",,,,,https://moar.market,,,,,,@MOARMarket,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Superposition,TRUE,,,,,,,,,,"Dexes - TVL: $800,000",,,,,https://superposition.xyz,,,,,,@superposition_x,,TRUE,Dexes from DefiLlama,Aptos,,,,,,,
Auro Finance,,,,TRUE,,,,,,,"Yield - TVL: $600,000",,,,,https://auro.finance,,,,,,@AuroFinance,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
StreamFlow,,,,TRUE,,,,,,,"Payments - TVL: $500,000",,,,,https://streamflow.finance,,,,,,@streamaboringflow_fi,,TRUE,Payments from DefiLlama,Aptos,,,,,,,
Earnium,,,,TRUE,,,,,,,"Yield - TVL: $400,000",,,,,https://earnium.io,,,,,,@EarniumIO,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
GoAPT,,,,TRUE,,,,,,,"Yield - TVL: $300,000",,,,,https://goapt.xyz,,,,,,@GoAPT_xyz,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
Bridgers,TRUE,,,,,,,,,,"Bridge - TVL: $200,000",,,,,https://bridgers.xyz,,,,,,@BridgersXYZ,,TRUE,Bridge from DefiLlama,Aptos,,,,,,,
TrustAKE,,,,TRUE,,,,,,,"Liquid Staking - TVL: $150,000",,,,,https://trustake.com,,,,,,@TrustAKE,,TRUE,Liquid Staking from DefiLlama,Aptos,,,,,,,
DApp World,,,,TRUE,,,,,,,Games dapp on Aptos,,,,,https://dappradar.com/dapp/dapp-world,,,,,,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Jump.trade,,,,TRUE,,,,,,,Marketplaces dapp on Aptos,,,,,https://dappradar.com/dapp/jump-trade,,,,,,,,TRUE,Marketplaces from DappRadar,Aptos,,,,,,,
Galxe,,,,TRUE,,,,,,,Social dapp on Aptos,,,,,https://dappradar.com/dapp/galxe,,,,,,,,TRUE,Social from DappRadar,Aptos,,,,,,,
motoDEX,,,,TRUE,,,,,,,Games dapp on Aptos,,,,,https://dappradar.com/dapp/motodex,,,,,,,,TRUE,Games from DappRadar,Aptos,,,,,,,
SushiSwap V3,TRUE,,,,,,,,,,DeFi dapp on Aptos,,,,,https://dappradar.com/dapp/sushiswap-v3,,,,,,,,TRUE,DeFi from DappRadar,Aptos,,,,,,,
KGeN,,,,TRUE,,,,,,,Games dapp on Aptos,,,,,https://dappradar.com/dapp/kgen,,,,,,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Interport Finance,TRUE,,,,,,,,,,DeFi dapp on Aptos,,,,,https://dappradar.com/dapp/interport-finance,,,,,,,,TRUE,DeFi from DappRadar,Aptos,,,,,,,
GOQii,,,,TRUE,,,,,,,Other dapp on Aptos,,,,,https://dappradar.com/dapp/goqii,,,,,,,,TRUE,Other from DappRadar,Aptos,,,,,,,
