Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Hot Craft NFT Marketplace,,,,TRUE,,,,,,,https://hotcraft.art/,,,,Dapp; NEAR Intents; Marketplace; NFT,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Chain Abstracted NFT Marketplace,website-scan: scanned
HOT Wallet - HOT Protocol,,,,TRUE,,,,,,,,,,,Infrastructure; NEAR Intents; Chain Abstraction; Wallet,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Create your HOT wallet now and start earning $HOT today on HOT Protocol - The Chain Signature Protocol,
Meta Pool,TRUE,,,TRUE,,,,,,,https://metapool.app/,https://x.com/meta_pool,@meta_pool; https://x.com/meta_pool,,Liquid Staking,,,❌ Not found,,,,,Near; Aurora; near,NEARCatalog; https://defillama.com/chain/Near; AwesomeNEAR,Liquid Staking Protocol built on NEAR,website-scan: scanned
LiNEAR Protocol,TRUE,,,TRUE,,,,,,,https://linearprotocol.org/,https://x.com/LinearProtocol,@LinearProtocol; https://x.com/LinearProtocol,,Liquid Staking,,,❌ Not found,,,,,Near; near,NEARCatalog; https://defillama.com/chain/Near; AwesomeNEAR,Get the highest yield from staking $NEAR; $ETH and more,website-scan: scanned
Intear DEX - The fastest DEX and aggregator on NEAR,,,,TRUE,,,,,,,https://dex.intea.rs/,https://x.com/intea_rs,@intea_rs; https://x.com/intea_rs,https://t.me/intearchat,Dapp; NEAR Intents; DEX,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Intear DEX is a one-stop solution for fast; efficient token swaps with the best rates! Fast & Safe & Open source,website-scan: scanned
HeX - HOT Exchange,,,,TRUE,,,,,,,https://hex.exchange/,https://x.com/hotdao_,@hotdao_; https://x.com/hotdao_,https://t.me/hotonnear,Dapp; DEX,,,✅ Found,HOT Labs,id1761944970-8ZwQKvjTSaC2_B8g-CLDhw,https://admin.thegrid.id/profiles/?rootId=id1761944970-8ZwQKvjTSaC2_B8g-CLDhw,Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog,A cross-chain spot and perp exchange by Hot Labs,website-scan: scanned
Meme Cooking,TRUE,,,TRUE,,,,,,,https://testnet.meme.cooking/board,https://x.com/memedotcooking,@memedotcooking; https://x.com/memedotcooking,,Launchpad,,,❌ Not found,,,,,Near; near,NEARCatalog; https://defillama.com/chain/Near,everyone can be a chef | meme token launchpad on Near Protocol,website-scan: scanned
StableFlow,,,,TRUE,,,,,,,,https://x.com/0xStableFlow/status/1976323915464003610,@0xStableFlow; https://x.com/0xStableFlow/status/1976323915464003610,,Dapp; NEAR Intents; Cross-chain; Stablecoin,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Stablecoins to any chain; with a single click. Fast; Secure; and Built for SIZES,
NEAR Legion,,,,TRUE,,,,,,,https://nearlegion.com/,https://x.com/NEAR_Blockchain,@NEAR_Blockchain; https://x.com/NEAR_Blockchain,https://t.me/NearLegionRobot,Ecosystem Support; Community,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Building the strongest AI community in crypto. Prepare for ASI - Find NEARvana. Join Today!,website-scan: scanned
Bettear Bot,,,,TRUE,,,,,,,,,,https://t.me/bettearbot,Utilities; NEAR Intents; AI; Bot; Chain Abstraction; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Trading; buy bot; moderation; sniping; alerts; information - this bot has everything,
Delta Trade,TRUE,,,,,,,,,,https://www.deltatrade.ai,https://x.com/DeltaBotTeam,@DeltaBotTeam; https://x.com/DeltaBotTeam,,Dapp; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,Delta Trade is a multi-chain decentralized trading vault; including Grid; DCA; Rebalancing-Grid; and AI-powered strategy. TGE Coming Soon | Supports USDC only (no USDT) | (fuzzy dedup: merged from Delta Trade; DeltaTrade) | Supports USDC only (no USDT); Solana chain presence,USDC: $37;577 | website-scan: scanned | USDC: $41;876 | SOL: $0
Degen Arena,,,,TRUE,,,,,,,https://degenarena.gg/,https://x.com/degenarenagg,@degenarenagg; https://x.com/degenarenagg,https://t.me/nearlegionsupport,Dapp; Game,,,❌ Not found,,,,,NEAR; near,NEARCatalog,No risk; only Guts; it's Degen O'clock; SEE YOU IN THE ARENA!,website-scan: scanned
JAMBO,,,,TRUE,,,,,,,http://jambo.meme.cooking/,https://x.com/jamboonnear,@jamboonnear; https://x.com/jamboonnear,https://t.me/jambo_NEAR,Other; Memecoin; NFT,,,Active; ✅ Found,Jambo,1223,https://www.jambo.technology; https://admin.thegrid.id/profiles/?rootId=1223,name; Name: Profile,NEAR; near,NEARCatalog; CoinGecko,JAMBO JAMBO JAMBO JAMBO JAMBO JAMBO JAMBO JAMBO JAMBO. CA: jambo-1679.meme-cooking.near | Solana deployment (CoinGecko),SOL: deployed on solana (CoinGecko)
Surge Swap; Surge Finance,,,,TRUE,,,,,,,https://app.surgeswap.xyz/; https://surgefinance.xyz/,https://x.com/surgecodes/status/1942664336272744950,@surgecodes; https://x.com/surgecodes/status/1942664336272744950; https://x.com/surge_finance,https://t.me/surgeswap,Dapp; NEAR Intents; DEX; DAPPS; DEFI; EXCHANGES,,,❌ Not found,,,,,NEAR; near,NEARCatalog; AwesomeNEAR,Swap across chains with 1 click. Swap NEAR; BASE; SOLANA; BTC; ETH; and mores; NEAR's Central Liquidity Layer ⋈ AMM x DeFi Hub,website-scan: scanned
NEARN,,,,TRUE,,,,,,,https://nearn.io/,https://x.com/NEARN_IO,@NEARN_IO; https://x.com/NEARN_IO,https://t.me/NEARN_IO,Dapp; Community; Marketplace,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Gigs Marketplace Platform for the NEAR Ecosystem. Discover projects and sponsorships from the best NEAR companies in one place and apply to them using a single profile,website-scan: scanned
Namesky - buy & sell NEAR accounts easy,,,,TRUE,,,,,,,,,,,Dapp; Marketplace; NFT,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Buy & Sell NEAR accounts as NFT's,
Near Blocks,,,,TRUE,,,,,,,https://nearblocks.io/,https://x.com/nearblocks,@nearblocks; https://x.com/nearblocks,https://t.me/nearblocks,Infrastructure; Analytics; Developer Tooling; Explorer; Indexer; Service Provider,,,❌ Not found,,,,,NEAR; near,NEARCatalog; AwesomeNEAR,NEAR Blocks is the leading blockchain explorer dedicated to the NEAR ecosystem | (fuzzy dedup: merged from Near Blocks; NearBlocks),website-scan: scanned
Near Mobile Wallet,,,,TRUE,,,,,,,https://nearmobile.app/,https://twitter.com/NEARMobile_app,@NEARMobile_app; https://twitter.com/NEARMobile_app,https://t.me/NEARMobile,Infrastructure; NEAR Intents; Mobile; Wallet,,,❌ Not found,,,,,NEAR; near,NEARCatalog; wallet.near.org; NEARCatalog; Generic Scraper,Securely store; manage & transfer NEAR & other crypto on the go. $NPRO pre-staking start September! Support | (fuzzy dedup: merged from Near Mobile Wallet; NEAR Mobile) | [PROMOTED from website-scan] SOL keywords (solana),website-scan: scanned | promoted: website-scan
Learn NEAR Club,,,,TRUE,,,,,,,https://learnnear.club/,https://x.com/LearnNear,@LearnNear; https://x.com/LearnNear,https://t.me/LearnNEARClub,Dapp; Community; Education,,,❌ Not found,,,,,NEAR; near,NEARCatalog; AwesomeNEAR,Learn how to use and build on NEAR and Earn NEAR,website-scan: scanned
Pikespeak,,,,TRUE,,,,,,,https://pikespeak.ai/,https://x.com/pikespeak_ai,@pikespeak_ai; https://x.com/pikespeak_ai,,Infrastructure; Analytics; Asset Management; Explorer,,,❌ Not found,,,,,NEAR; near,NEARCatalog; AwesomeNEAR,Access to live and historical data with visualisations of the most fundamental Web 3 use cases,website-scan: scanned
Bitte,,,,TRUE,,,,,,,https://linktr.ee/bitteprotocol,https://x.com/BitteProtocol,@BitteProtocol; https://x.com/BitteProtocol,https://t.me/bitteai,Infrastructure; AI,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Cross-chain AI Executions | Grid match cleared (false positive: matched Bittensor),website-scan: scanned
Templar Protocol,TRUE,,,,,,,,,,https://www.templarfi.org/,https://x.com/TemplarProtocol,@TemplarProtocol; https://x.com/TemplarProtocol,,Dapp; NEAR Intents; Borrowing / Lending; Chain Abstraction; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,Cypher Lending - Lending protocol utilizing Chain Abstraction to serve markets on any chain. Built on NEAR | Supports USDC only (no USDT) | [PROMOTED from website-scan] web3 signals (lending; borrow) | Supports USDC only (no USDT); Solana chain presence,USDC: $173;945 | website-scan: scanned | promoted: website-scan | USDC: $147;980 | SOL: $0
SWEAT,,,,TRUE,,,,,,,https://sweateconomy.com/,https://twitter.com/SweatEconomy,@SweatEconomy; https://twitter.com/SweatEconomy,https://t.me/sweateconomy,Dapp; Sport,,,❌ Not found,,,,,NEAR; near,NEARCatalog; CoinGecko; wallet.near.org; NEARCatalog; CoinGecko; Generic Scraper; CoinGecko,Sweatcoin is a global Top 10 Health & Fitness app that tracks physical movement; converting it into digital currency | Solana deployment (CoinGecko) | (fuzzy dedup: merged from SWEAT; Sweat Wallet),SOL: deployed on solana (CoinGecko)
Dew Finance,TRUE,,,,TRUE,,,,,,https://dew.finance/,https://x.com/DewFinance,@DewFinance; https://x.com/DewFinance,,Dapp; NEAR Intents; Borrowing / Lending; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,Earn Without Borders Deploy from any chain. Earn everywhere. Verifiable by design | Supports USDT + USDC | (fuzzy dedup: merged from Dew Finance; DewFinance),USDT: $33;910 | USDC: $14;657 | website-scan: scanned | USDT: $33;911 | USDC: $15;860
Solswap,TRUE,,,,TRUE,,,,,,https://near-intents.org,https://x.com/NEARProtocol/status/1860074029815857383,@NEARProtocol; https://x.com/NEARProtocol/status/1860074029815857383,,Dapp; NEAR Intents; Bridge; DEX,,,Active; ✅ Found,NEAR Intents,id1770672784-l3kqkjgsSxOjT1KU9BrN2Q,https://near-intents.org; https://admin.thegrid.id/profiles/?rootId=id1770672784-l3kqkjgsSxOjT1KU9BrN2Q,url; URL: urlMain,NEAR; near,NEARCatalog,Best cross-chain liquidity across union of CEXs and DEXs at your fingertips. Powered by NEAR Intents | Grid confirms: USDT; USDC; SOL; STRK; ADA,Grid: USDT (supported_by); USDC (supported_by); SOL (supported_by); STRK (supported_by); ADA (supported_by) | website-scan: scanned
Aurora; Aurora+; AuroraSwap,,,,TRUE,,,,,,,https://aurora.dev; https://aurora.plus/; https://auroraswap.net/,https://x.com/auroraisnear,@auroraisnear; https://x.com/auroraisnear; https://x.com/auroraswap,,Infrastructure; Aurora Virtual Chain; Aurora; AURORA; DAPPS; INFRASTRUCTURE; AURORA; DAPPS; DEFI; EXCHANGES; LENDING,,,❌ Not found,,,,,NEAR; near,NEARCatalog; AwesomeNEAR,The next-gen Ethereum-compatible blockchain on NEAR Protocol; driving Aurora Cloud for seamless Web2 to Web3 transition | (fuzzy dedup: merged from Aurora; Aurora+) | [PROMOTED from website-scan] web3 signals (swap; bridge; liquidity; staking; amm); New membership program for Aurora; New Innovative DEX on Aurora Chain,website-scan: scanned | promoted: website-scan
Kalshi,TRUE,,,,,,,,,,https://kalshi.com/,https://x.com/Kalshi,@Kalshi; https://x.com/Kalshi,,Dapp; Prediction market,,,Active; ✅ Found,Kalshi,id1750241939-GQPz_NX4TNyKWk5OAe8z3Q,https://kalshi.com; https://admin.thegrid.id/profiles/?rootId=id1750241939-GQPz_NX4TNyKWk5OAe8z3Q,name; URL: urlMain,NEAR; near,NEARCatalog,Trade on anything in all 50 states: politics; sports; entertainment; crypto; weather; and so much more | Grid confirms: USDC; SOL,Grid: USDC (supported_by); SOL (supported_by) | website-scan: scanned
JAMBO Coinflip,,,,TRUE,,,,,,,https://jflip.xyz/,https://x.com/jamboonnear,@jamboonnear; https://x.com/jamboonnear,https://t.me/jambo_NEAR/169392,Dapp; Game,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Flip a coin and win $JAMBO!,website-scan: scanned
dep.now,,,,TRUE,,,,,,,https://dep.now/,https://x.com/dep_now,@dep_now; https://x.com/dep_now,https://t.me/hyperdep,Dapp; NEAR Intents; Bridge,,,❌ Not found,,,,,NEAR; near,NEARCatalog,The ultimate DeFi funding tool. Dep your accounts on Hyperliquid; Aster; Jupiter; Apex; dYdX. Any asset. Any exchange,website-scan: scanned
near.ad - Realtime intelligence for the NEAR ecosystem,,,,TRUE,,,,,,,,,,,Other; Analytics,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Real-time intelligence for the NEAR ecosystem,
OLLM - Confidential AI gateway,,,,TRUE,,,,,,,https://ollm.com/,https://x.com/ollm_ai/,@ollm_ai; https://x.com/ollm_ai/,,Infrastructure; NEAR AI; AI,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Building decentralized; confidential AI infrastructure. OLLM offers secure access to powerful language models for developers focused on privacy and trust,website-scan: scanned
NEAR Merch,,,,TRUE,,,,,,,https://nearmerch.com/,https://x.com/nearmerch,@nearmerch; https://x.com/nearmerch,https://t.me/nearmerch,Ecosystem Support; Community,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Built for the future of commerce: the official NEAR Protocol Merch Store,website-scan: scanned
Calyx - a NEAR-Intents Launchpad,,,,TRUE,,,,,,,https://www.calyx.xyz/,https://x.com/Calyxdotxyz,@Calyxdotxyz; https://x.com/Calyxdotxyz,,Dapp; NEAR Intents; Launchpad,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Cross-chain token launches made simple; from any chain; in one click | [PROMOTED from website-scan] web3 signals (swap; bridge; liquidity),website-scan: scanned | promoted: website-scan
Hot Pay - Crypto payment for merchants made easy,,,,TRUE,,,,,,,,https://x.com/hotdao_,@hotdao_; https://x.com/hotdao_,,Dapp; NEAR Intents; Payment,,,✅ Found,HOT Labs,id1761944970-8ZwQKvjTSaC2_B8g-CLDhw,https://admin.thegrid.id/profiles/?rootId=id1761944970-8ZwQKvjTSaC2_B8g-CLDhw,Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog,HOT PAY is a non-custodial open source crypto payments platform designed for merchants and developers,
Portal Pad,,,,TRUE,,,,,,,,,,,Dapp; Launchpad,,,❌ Not found,,,,,NEAR; near,NEARCatalog,The fair launch portal for NEAR. Click. Deploy. Moon,
Learn NEAR smart contract by example,,,,TRUE,,,,,,,https://near.peersurf.xyz/,,,,Ecosystem Support; Developer Support,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Learn NEAR Smart Contracts by Doing - Run code in your browser. Deploy to TestNet in one click,website-scan: scanned
reply.cash - Use stablecoins to send to local payment rails privately,,,,TRUE,TRUE,,,,,,https://www.reply.cash/,https://x.com/replydotcash,@replydotcash; https://x.com/replydotcash,,Dapp; NEAR Intents; Payment,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Use stablecoins to pay people & merchant through local rails privately. Now live in Kenya & Nigeria | [PROMOTED from website-scan] stablecoin mentions,website-scan: scanned | promoted: website-scan
Intear Bot,,,,TRUE,,,,,,,https://intear.tech/,https://twitter.com/intelnear,@intelnear; https://twitter.com/intelnear,https://t.me/intearbot,Dapp; Bot,,,❌ Not found,,,,,NEAR; near,NEARCatalog,A bot that can do many things on NEAR. Try DM me! | [PROMOTED from website-scan] SOL keywords (solana),website-scan: scanned | promoted: website-scan
NEAR Email,,,,TRUE,,,,,,,,https://x.com/zacodil/status/2016550213805101268,@zacodil; https://x.com/zacodil/status/2016550213805101268,,Dapp; Productivity Tool,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Your NEAR account is your email address,
Wars Of Cards,,,,TRUE,,,,,,,,https://x.com/wars_of_cards,@wars_of_cards; https://x.com/wars_of_cards,,Dapp; Game,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Collect & Play $CARDS; conquer the Dark Forest | #NEAR powered ⚡ | #Free to play 🎮,
baZOOka,,,,TRUE,,,,,,,https://bazooka.lol/,https://x.com/baZOOka_trading,@baZOOka_trading; https://x.com/baZOOka_trading,https://t.me/baZOOka_news,Dapp; Bot; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog,BaZooka Trade Bot | One-stop sniper; swapper; & trigger bot for Degens 💥 | Multichain | Alpha insights | Unleash the crypto beast 🐾 #DegenLife,website-scan: scanned
Zashi,,,,TRUE,,,,,,,https://electriccoin.co/zashi/,https://x.com/zashi_app,@zashi_app; https://x.com/zashi_app,,Infrastructure; NEAR Intents; Wallet,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Zashi is the privacy-first mobile wallet for Zcash; giving you full control over shielded ZEC transactions with no gatekeepers. NEAR Intents power Zashi's ZEC swap,website-scan: scanned
Public AI,,,,TRUE,,,,,,,https://publicai.io/,https://twitter.com/PublicAI_,@PublicAI_; https://twitter.com/PublicAI_,https://discord.gg/publicai,Infrastructure; AI,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Every human contributes data to train AI; evaluate AI; and share revenues | [PROMOTED from website-scan] web3 signals (staking),website-scan: scanned | promoted: website-scan
NEAR OutLayer,,,,TRUE,TRUE,,,,,,https://outlayer.fastnear.com/,https://x.com/out_layer,@out_layer; https://x.com/out_layer,,Infrastructure; Developer Tooling; Service Provider,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Keep your security on-chain. Scale computation off-chain | [PROMOTED from website-scan] stablecoin mentions | web3 signals (yield),website-scan: scanned | promoted: website-scan
SVRN - Sovereign AI,,,,TRUE,,,,,,,https://www.svrn.net/,https://x.com/svrn_ai,@svrn_ai; https://x.com/svrn_ai,,Other; Digital Asset Treasury; AI,,,❌ Not found,,,,,NEAR; near,NEARCatalog,SovereignAI formed to implement a NEAR digital asset treasury strategy which will fund the development of confidential AI infrastructure powered by NEAR | [PROMOTED from website-scan] web3 signals (staking),website-scan: scanned | promoted: website-scan
Open Crosspost,,,,TRUE,,,,,,,,https://x.com/open_crosspost,@open_crosspost; https://x.com/open_crosspost,https://t.me/open_crosspost,Utilities; Productivity Tool; Social,,,❌ Not found,,,,,NEAR; near,NEARCatalog,An open-source interface for seamless social media crossposting,
NEAR Validator Watcher + Node Stats,,,,TRUE,,,,,,,https://nodestats.nearcatalog.xyz/,https://x.com/nearcatalog,@nearcatalog; https://x.com/nearcatalog,https://t.me/nearvalidatorwatcherbot,Utilities; Analytics; Bot,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Monitor validators and network stake on the NEAR Protocol | [PROMOTED from website-scan] web3 signals (staking),website-scan: scanned | promoted: website-scan
NEAR Treasury,,,,TRUE,,,,,,,https://neartreasury.com/,https://x.com/NEARDevHub/status/1890446735803314235,@NEARDevHub; https://x.com/NEARDevHub/status/1890446735803314235,https://t.me/neartreasury,Utilities; Asset Management; DAO,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Simple treasury for decentralized teams. Securely manage your digital assets with multi-sig actions | [PROMOTED from website-scan] web3 signals (swap; staking),website-scan: scanned | promoted: website-scan
Kaito AI,,,,TRUE,,,,,,,https://linktr.ee/kaito_ai,https://x.com/KaitoAI,@KaitoAI; https://x.com/KaitoAI,https://t.me/kaito_announcements,Utilities; AI; Social,,,✅ Found,Kaito,id1741256345-q-2A7TSATUS9YRXCyFOD-A,https://admin.thegrid.id/profiles/?rootId=id1741256345-q-2A7TSATUS9YRXCyFOD-A,Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog,The distribution powerhouse of crypto-for attention; data & capital. Powered by AI,website-scan: scanned
TKN - Create tokens easily,,,,TRUE,,,,,,,https://tkn.homes/,https://x.com/tknhomes,@tknhomes; https://x.com/tknhomes,https://t.me/tknhomes,Utilities; Developer Tooling,,,❌ Not found,,,,,NEAR; near,NEARCatalog,TKN - Create new tokens easily with deflationary features,website-scan: scanned
SwapKit,,,,TRUE,,,,,,,https://swapkit.dev/,https://x.com/SwapKitPowered,@SwapKitPowered; https://x.com/SwapKitPowered,https://t.me/swapkitpowered,Infrastructure; NEAR Intents; Cross-chain; Developer Tooling,,,❌ Not found,,,,,NEAR; near,NEARCatalog,SwapKit SDK+API is a powerful suite of DeFi cross-chain tools. Powered by NEAR-Intents | [PROMOTED from website-scan] SOL keywords (solana),website-scan: scanned | promoted: website-scan
KAIO,TRUE,,,,,,,,,,https://www.kaio.xyz/,https://x.com/KAIO_xyz,@KAIO_xyz; https://x.com/KAIO_xyz,,Other; Asset Management; RWA,,,Active; ✅ Found,KAIO,1273,https://www.librecapital.com; https://admin.thegrid.id/profiles/?rootId=1273,name; Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,KAIO enables regulated RWAs to thrive in permissionless finance while ensuring seamless compliance; interoperability; and liquidity access | Supports USDC only (no USDT) | [PROMOTED from website-scan] web3 signals (liquidity; yield; staking; defi) | Supports USDC only (no USDT); Solana chain presence; Cardano chain presence,USDC: $13;161;131 | website-scan: scanned | promoted: website-scan | USDC: $13;163;041 | SOL: $0 | ADA: $0
Harvest MOON,,,,TRUE,,,,,,,https://t.me/nearharvestmoonbot,https://twitter.com/MeteorWallet,@MeteorWallet; https://twitter.com/MeteorWallet,https://t.me/meteorwalletchat,Dapp; Game,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Experience a new; simple way to play and earn in the crypto world with tasks; $MOON token harvesting; and referral rewards,website-scan: scanned
VIBES,,,,TRUE,,,,,,,https://www.vibes.fun/,https://x.com/vibesdotfun,@vibesdotfun; https://x.com/vibesdotfun,https://t.me/+0MX2QqSc5atmYzA0,Dapp; AI; DEX,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Trade the world's emotions. The first perp DEX to let you directly long and short mindshare; narratives and sentiment. You're early: follow; and claim VIBES | Solana chain presence,website-scan: scanned | SOL: $0
